ID,Form_ID,Form,Cognateset_ID,Doubt,Cognate_Detection_Method,Source,Alignment,Alignment_Method,Alignment_Source
1-2-1-1,1-2-1,ɡwìì,age-None,false,expert,Hantgan2018,,,
3-2-1-1,3-2-1,pɛ́,age-None,false,expert,Hantgan2018,,,
4-2-1-1,4-2-1,pɛ́,age-None,false,expert,Hantgan2018,,,
5-2-1-1,5-2-1,kɛ̀mnɔ̀ kánì,age-None,false,expert,Hantgan2018,,,
18-2-1-1,18-2-1,naywu-de,age-None,false,expert,Hantgan2018,,,
6-2-1-1,6-2-1,pɛ́:ⁿ,age-None,false,expert,Hantgan2018,,,
7-2-1-1,7-2-1,ká:nú kánì,age-None,false,expert,Hantgan2018,,,
8-2-1-1,8-2-1,kúnjɛ́,age-None,false,expert,Hantgan2018,,,
9-2-1-1,9-2-1,pɛ́:,age-None,false,expert,Hantgan2018,,,
20-2-1-1,20-2-1,ká:mnɔ́ kán,age-None,false,expert,Hantgan2018,,,
10-2-1-1,10-2-1,pɛ́:,age-None,false,expert,Hantgan2018,,,
21-2-1-1,21-2-1,zé:n,age-None,false,expert,Hantgan2018,,,
22-2-1-1,22-2-1,zé:n,age-None,false,expert,Hantgan2018,,,
11-2-1-1,11-2-1,pɛ́,age-None,false,expert,Hantgan2018,,,
12-2-1-1,12-2-1,kúnjó,age-None,false,expert,Hantgan2018,,,
13-2-1-1,13-2-1,pɛ́:ⁿ,age-None,false,expert,Hantgan2018,,,
14-2-1-1,14-2-1,pɛ́ɛ́ⁿ,age-None,false,expert,Hantgan2018,,,
15-2-1-1,15-2-1,yɔ̌w,age-None,false,expert,Hantgan2018,,,
16-2-1-1,16-2-1,pɛ́:,age-None,false,expert,Hantgan2018,,,
17-2-1-1,17-2-1,pɛ́:,age-None,false,expert,Hantgan2018,,,
2-3-1-1,2-3-1,dántán,animal-None,false,expert,Hantgan2018,,,
1-3-1-1,1-3-1,yíríbɛ̀,animal-None,false,expert,Hantgan2018,,,
3-3-1-1,3-3-1,dá:bà-m,animal-None,false,expert,Hantgan2018,,,
4-3-1-1,4-3-1,àrsɛ̌:,animal-None,false,expert,Hantgan2018,,,
5-3-1-1,5-3-1,kɔ́mbɔ̀,animal-None,false,expert,Hantgan2018,,,
18-3-1-1,18-3-1,daaba,animal-None,false,expert,Hantgan2018,,,
6-3-1-1,6-3-1,àsɛ̀gɛ́,animal-None,false,expert,Hantgan2018,,,
19-3-1-1,19-3-1,dáábā,animal-None,false,expert,Hantgan2018,,,
7-3-1-1,7-3-1,dèbù bɛ́lí,animal-None,false,expert,Hantgan2018,,,
8-3-1-1,8-3-1,dúmɛ́-ŋgó,animal-None,false,expert,Hantgan2018,,,
9-3-1-1,9-3-1,gàsɛ̀gɛ́,animal-None,false,expert,Hantgan2018,,,
20-3-1-1,20-3-1,dá:bá,animal-None,false,expert,Hantgan2018,,,
10-3-1-1,10-3-1,àsɛ̀gɛ́,animal-None,false,expert,Hantgan2018,,,
21-3-1-1,21-3-1,dá:bbà,animal-None,false,expert,Hantgan2018,,,
22-3-1-1,22-3-1,dá:bbà:,animal-None,false,expert,Hantgan2018,,,
11-3-1-1,11-3-1,àsɛ̀gɛ́,animal-None,false,expert,Hantgan2018,,,
12-3-1-1,12-3-1,bèl,animal-None,false,expert,Hantgan2018,,,
13-3-1-1,13-3-1,gìrⁿí árúsɛ̀gɛ̀,animal-None,false,expert,Hantgan2018,,,
14-3-1-1,14-3-1,bɛ̀lú,animal-None,false,expert,Hantgan2018,,,
15-3-1-1,15-3-1,àrùzàká,animal-None,false,expert,Hantgan2018,,,
16-3-1-1,16-3-1,àzɛ̀gɛ̀,animal-None,false,expert,Hantgan2018,,,
17-3-1-1,17-3-1,àrùsɛ̀gɛ́,animal-None,false,expert,Hantgan2018,,,
2-4-1-1,2-4-1,lá-mìnɛ́,answer-None,false,expert,Hantgan2018,,,
1-4-1-1,1-4-1,yòò-rò,answer-None,false,expert,Hantgan2018,,,
3-4-1-1,3-4-1,kísɛ́,answer-None,false,expert,Hantgan2018,,,
4-4-1-1,4-4-1,sá,answer-None,false,expert,Hantgan2018,,,
5-4-1-1,5-4-1,kíjɛ̀,answer-None,false,expert,Hantgan2018,,,
6-4-1-1,6-4-1,sá:,answer-None,false,expert,Hantgan2018,,,
7-4-1-1,7-4-1,ábú-lè,answer-None,false,expert,Hantgan2018,,,
9-4-1-1,9-4-1,sá:,answer-None,false,expert,Hantgan2018,,,
20-4-1-1,20-4-1,kíjɛ́,answer-None,false,expert,Hantgan2018,,,
10-4-1-1,10-4-1,sá:,answer-None,false,expert,Hantgan2018,,,
21-4-1-1,21-4-1,tù:,answer-None,false,expert,Hantgan2018,,,
22-4-1-1,22-4-1,tùrù,answer-None,false,expert,Hantgan2018,,,
11-4-1-1,11-4-1,sá:m,answer-None,false,expert,Hantgan2018,,,
12-4-1-1,12-4-1,cígírɔ́,answer-None,false,expert,Hantgan2018,,,
13-4-1-1,13-4-1,sá:,answer-None,false,expert,Hantgan2018,,,
14-4-1-1,14-4-1,sáwá,answer-None,false,expert,Hantgan2018,,,
15-4-1-1,15-4-1,císú,answer-None,false,expert,Hantgan2018,,,
16-4-1-1,16-4-1,m̀bò sá:,answer-None,false,expert,Hantgan2018,,,
